Raw Filename|Renamed Filename
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z0_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z0_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z1_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z001--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z1_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z001--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z2_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z002--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z2_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z002--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z3_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z003--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z3_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z003--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z4_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z004--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/raw/TileScan 4_A1_z4_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/04_ZC/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z004--C01.tif
