Lossless tiff compression using 'Deflate'
Raw Filename|Renamed Filename
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-1/A1-1_z0.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-1/A1-1_z1.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z001--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-1/A1-1_z2.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z002--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-1/A1-1_z3.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z003--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-1/A1-1_z4.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P001--A01--001/testplate--A01--001--W0001--P001--T0000--Z004--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-2/A1-2_z0.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P002--A01--001/testplate--A01--001--W0001--P002--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-2/A1-2_z1.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P002--A01--001/testplate--A01--001--W0001--P002--T0000--Z001--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-2/A1-2_z2.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P002--A01--001/testplate--A01--001--W0001--P002--T0000--Z002--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-2/A1-2_z3.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P002--A01--001/testplate--A01--001--W0001--P002--T0000--Z003--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/raw/TileScan 1/A1-2/A1-2_z4.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/19_raw_dir_overl_comp/testplate/W0001--A01--001/P002--A01--001/testplate--A01--001--W0001--P002--T0000--Z004--C00.tif
