Raw Filename|Renamed Filename
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_B_3_t0_s11_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0015--B03--015/P011--B03--015/testplate--B03--015--W0015--P011--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_B_3_t0_s11_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0015--B03--015/P011--B03--015/testplate--B03--015--W0015--P011--T0000--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_B_3_t0_s12_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0015--B03--015/P012--B03--015/testplate--B03--015--W0015--P012--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_B_3_t0_s12_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0015--B03--015/P012--B03--015/testplate--B03--015--W0015--P012--T0000--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_B_3_t6_s11_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0015--B03--015/P011--B03--015/testplate--B03--015--W0015--P011--T0006--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_B_3_t6_s11_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0015--B03--015/P011--B03--015/testplate--B03--015--W0015--P011--T0006--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_B_3_t6_s12_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0015--B03--015/P012--B03--015/testplate--B03--015--W0015--P012--T0006--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_B_3_t6_s12_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0015--B03--015/P012--B03--015/testplate--B03--015--W0015--P012--T0006--Z000--C01.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_C_4_t0_s11_ch00.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0028--C04--028/P011--C04--028/testplate--C04--028--W0028--P011--T0000--Z000--C00.tif
C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/raw/Mosaico xy_Mosaico_xy_C_4_t0_s11_ch01.tif|C:/Users/Hugo/Documents/GitHub/htmrenamer_testdata/leica_navigator/20_tilescan_nothing/testplate/W0028--C04--028/P011--C04--028/testplate--C04--028--W0028--P011--T0000--Z000--C01.tif
